epoca,train_loss,val_loss,val_env,val_truc,val_acc,lr
78,0.000750204624980688,0.0007587423137389123,9.047966884681955e-05,5.005883049307158e-06,0.0003316283805528656,6.25e-05
79,0.0007541533107869327,0.0007447951760143042,8.111940801609307e-05,3.0432857500272803e-06,0.00033031624082941564,6.25e-05
80,0.0007592213222756982,0.0007410859149880707,8.490737860556692e-05,3.4273884273716247e-06,0.00032637557424604894,6.25e-05
81,0.0007494225176982582,0.0007502542425878346,9.547937486786395e-05,6.813084005989367e-06,0.0003239808921236545,6.25e-05
82,0.000749151039775461,0.0007486132593825459,9.847002156311646e-05,1.0430174932116642e-05,0.00031985653089359404,6.25e-05
83,0.0007503360466100276,0.0007197248766198755,8.014961138833314e-05,3.727555265868432e-06,0.00031792385508306323,6.25e-05
84,0.000753336132876575,0.0007269450708292424,8.48178387619555e-05,4.402110712544527e-06,0.0003188625606242567,6.25e-05
85,0.0007511297775432467,0.0007371497737243772,8.436846152762882e-05,3.3690288553771097e-06,0.0003247061408124864,6.25e-05
86,0.0007486737833358347,0.0007208307994529605,7.930424285586923e-05,2.9079572123009713e-06,0.0003193093001842499,6.25e-05
87,0.0007501671166159213,0.0007204399287700653,7.760103448526934e-05,3.345050043571973e-06,0.00031974692242220046,6.25e-05
88,0.0007513282916508614,0.0007826766671612859,0.00014189002311322838,3.814494807011215e-06,0.00031848607356660066,6.25e-05
89,0.0007509755046106875,0.0007250311026349664,8.1671768380329e-05,4.090560808981536e-06,0.00031963438531383873,3.125e-05
90,0.0007354323174804449,0.00072006422765553,7.364787235856056e-05,2.669466599400039e-06,0.00032187344427220526,3.125e-05
91,0.0007383432785980404,0.000715688318759203,7.479323206353001e-05,2.725659812858794e-06,0.0003190847135614604,3.125e-05
92,0.0007396567959338427,0.000716990596614778,7.50261968234554e-05,2.859719305706676e-06,0.0003195523401722312,3.125e-05
93,0.0007390270581468939,0.0007334579368121922,7.869819193147123e-05,5.224685249413596e-06,0.00032476752968505027,3.125e-05
94,0.0007407666123472154,0.0007274560038931667,8.664255063049495e-05,3.5867067614162804e-06,0.00031861337441951035,3.125e-05
95,0.0007398538992740214,0.0007234850923530758,7.602518083294854e-05,3.3996900023339548e-06,0.00032203011140227315,3.125e-05
96,0.0007384544431231916,0.0007246358471922576,8.000902392668649e-05,2.939335570044932e-06,0.000320843743532896,3.125e-05
97,0.0007392310505732894,0.0007213687307201326,7.93255168828182e-05,2.7479253003548364e-06,0.0003196476437151432,1.5625e-05
98,0.0007322892836295068,0.0007159919274039566,7.264302505645901e-05,2.689357330746134e-06,0.00032032977296039464,1.5625e-05
99,0.0007343994586728513,0.0007156612299382687,7.303186708595604e-05,2.6234440007101513e-06,0.00032000296018086375,1.5625e-05
100,0.0007340112690813839,0.0007188004055060447,7.445269293384626e-05,2.6512017317145364e-06,0.0003208482552319765,1.5625e-05
